
month	median	mean	min	max	salesmin	salesmax
2008/04	747.5	919	153	3323	101	188
2008/05	5581	6684	1489	18730	137	170
2008/06	11088	12279	2974	52305	123	142
2008/07	9372	10986	3404	38785	121	152
2008/08	34367	39732	10516	118013	74	130
2008/09	24156	27431	6039	84484	82	127
2008/10	17701	26326	3869	129732	94	143
2008/11	34435	41121	9713	120882	69	115
2008/12	60353.5	75217	7091	251446	75	137
2009/01	26340	32172	3284	121114	113	160
2009/02	66844.5	77172	15144	216604	40	114
2009/03	58259	72333	8146	190071	49	122
2009/04	86255	99986	10922	284681	39	141
2009/05	20687	24102	5712	153241	91	148
2009/06	19294	22507	7385	70444	101	109
2009/07	12182.5	12980	2605	41462	128	153
2009/08	30282	33647	6967	90455	102	142
2009/09	32528	36024	8741	92132	82	105
2009/10	23282	28640	6284	116293	83	103
2009/11	37545	46381	7217	178553	64	81
2009/12	94979	109619	15075	286892	49	122
2010/01	52231	57025	11800	167745	79	116
2010/02	55209.5	64467	13539	169232	51	97
2010/03	144522	149072	23897	343629	29	137
2010/04	87270	105927	19581	267630	34	114
2010/05	41729	48554	6958	137930	66	88
2010/06	17938	18938	5222	53328	118	122
2010/07	27082	34570	7516	136790	90	130
2010/08	96992	130672	9269	379972	47	152
2010/09	75353.5	107649	9024	314445	55	122
2010/10	38745.5	45378	8517	168276	63	95
2010/11	199707	214768	33998	393684	16	181
2010/12	126007.5	160951	11973	487233	56	125
2011/01	70023	78004	12622	234489	69	112
2011/02	73773	96503	10988	244894	44	114
2011/03	65249.5	82520	13432	243499	53	105
2011/04	134051	156412	19893	363771	28	140
2011/05	104982.5	127842	14906	330152	37	121
2011/06	93016	120301	14566	287235	33	117
2011/07	157792	161191	27268	303528	26	109
2011/08	288000	276513	32335	532091	20	137
2011/09	239183.5	243551	28862	491863	21	140
2011/10	232831.5	225447	41677	429526	18	91
2011/11	287205.5	271206	60758	444298	13	76
2011/12	233437	236437	39249	535360	26	91
2012/01	186221	196352	32807	500089	32	74
2012/02	157887.5	172332	27780	371229	26	91
2012/03	104714	146651	12307	429675	40	94
2012/04	116781.5	129902	23970	340406	32	76
2012/05	176759	184550	36712	420559	24	86
2012/06	165785.5	165814	21768	382022	28	72
2012/07	169795	180512	28271	415444	30	67
2012/08	186298	200294	51901	398748	30	78
2012/09	164797	179261	39945	354051	29	70
2012/10	145600	153161	38280	344142	29	72
2012/11	208730	220071	28362	454221	21	64
2012/12	216273	238816	58125	524630	25	60
2013/01	153092	170946	35660	375443	41	67
2013/02	142313	155948	27449	417285	29	60
2013/03	134514	164545	25553	394833	36	61
2013/04	192613	190912	28863	420833	27	62
2013/05	180472	194476	46373	395780	28	98
2013/06	118547	139722	20088	402856	42	82
2013/07	155606	155548	24903	326692	35	102
2013/08	225045.5	246921	48389	571697	52	155
2013/09	199153	213411	27594	547125	52	131
2013/10	218642	216549	24570	472553	48	131
2013/11	228850	245764	42336	504211	22	73
2013/12	226535	236468	33026	423429	19	68
2014/01	237828	271420	23553	591106	29	115
2014/02	207928	203304	24271	417589	24	103
2014/03	128869	152773	24455	385981	31	111
2014/04	228772	243559	21694	549802	20	93
2014/05	159583	189082	35588	428699	28	93
2014/06	175559	184604	25285	410021	26	82
2014/07	195685	246209	23971	547985	23	108
2014/08	305662.5	314585	49244	649780	20	85
2014/09	221419	249587	36092	670037	29	74
2014/10	198738	243932	30410	575558	25	68
2014/11	224398	256896	26167	662694	23	52
2014/12	283291	310956	40941	725499	29	69
2015/01	179887	210554	43334	517227	31	46
2015/02	209095	236866	28149	554879	20	46
2015/03	190394	194151	36943	422082	31	72
2015/04	208871	220788	25668	483357	21	61
2015/05	241657	235332	34665	461670	24	66
2015/06	233793	266488	44735	556756	20	56
2015/07	199408	211464	43581	420336	23	44
2015/08	194919	222433	48482	533116	33	52
2015/09	243858	253185	58983	497030	25	52
2015/10	297579	267103	100874	421739	1	3
